dataset,horizon,model,mae,std_mae,rmse,rmse_states,pcc,pcc_states,r2,r2_states,var,var_states,peak_mae
state360,10,CNNRNN_Res,118.05316,151.90001,284.73375721891495,174.63553,0.8182450407574205,0.6050294044811699,0.615824531929168,-1.2349338506663257,0.6335815191268921,0.09546937869519603,83.757256
state360,15,cola_gnn,109.19589,132.5346,244.86747850878442,159.97095,0.8723240697044921,0.6513941249824357,0.7262512204757305,-1.1818572597706531,0.7405261993408203,-0.5263020359739965,82.59624
state360,15,SelfAttnRNN,158.10887,205.66873,367.6077648118984,224.77196,0.7213180120736623,0.07830695856069357,0.38303674576382596,-0.8968289281027089,0.43499016761779785,-0.010738170876794932,126.62164
state360,15,lstnet,136.66167,183.06058,331.4299275487958,200.67749,0.7816018159491976,0.47882663350714855,0.4984971697970294,-0.9426703941084553,0.5406955480575562,0.06252136400767735,110.1528
state360,15,dcrnn,144.63478,189.86491,342.6323535329085,209.92058,0.7746358639356443,0.4447107814977447,0.46402236873552616,-0.9979692736878901,0.5089534521102905,0.0013711355170425103,114.61507
state360,15,CNNRNN_Res,129.0987,163.29402,305.41486896924323,187.7539,0.7938948686969867,0.5542883473089388,0.5741366391002674,-1.324449676750025,0.5907137393951416,0.16009112158600164,93.148346
australia-covid,3,cola_gnn,130.11867,323.99374,455.9721756861925,170.3387,0.98713430426336,0.6897595513509476,0.9439609889165409,-14.493150958613763,0.9480580687522888,-9.919556453824043,124.30224
australia-covid,3,SelfAttnRNN,241.82938,607.6102,721.3106343663595,269.95404,0.9882312692003389,0.5073222352025792,0.8597643264159673,-6.241467394398649,0.8753260374069214,-4.431733280420303,233.13481
australia-covid,3,lstnet,47.501877,67.72007,136.79235518661122,76.77074,0.9979528193130144,0.3711671725807165,0.9949564368096624,-793.7413770651589,0.9951726198196411,-781.5207245871425,24.310768
australia-covid,3,dcrnn,118.45166,171.53113,269.1012239845817,150.23138,0.9911299981720285,0.3413956234658583,0.9804815562718726,-21.896868779102345,0.9817618131637573,-7.788084387779236,57.17989
australia-covid,3,CNNRNN_Res,181.31767,332.74094,457.5448577735302,229.90482,0.9864907673549018,0.2293707895556636,0.9435737519331572,-403.73659783236496,0.9454509615898132,-242.16941730678082,127.7912
australia-covid,7,cola_gnn,107.839775,242.07922,398.993166451507,159.0976,0.9857405460988462,0.3545605112977273,0.9563120545356874,-77.19235244206916,0.9587592482566833,-56.12034862488508,95.21325
australia-covid,7,SelfAttnRNN,421.1596,1080.1218,1199.686834136309,439.97144,0.9785753171577272,0.20598473354009425,0.6050278111980708,-18.870537998945085,0.6526234149932861,-14.267988130450249,412.05136
australia-covid,7,lstnet,82.22046,120.1579,229.2616289989452,123.65753,0.994206091446604,0.3635707406161575,0.9855757410926921,-11447.375194028118,0.986624002456665,-10818.87163439393,38.96447
australia-covid,7,dcrnn,225.5278,399.92047,521.281294024637,257.6547,0.983866037440563,0.2423239822819154,0.9254281320937464,-334.2600336996082,0.9368926882743835,-8.639243796467781,154.96144
australia-covid,7,CNNRNN_Res,159.53952,330.0998,436.67924798987184,193.99083,0.9917520251037337,0.0878131785104632,0.9476693798481431,-904.8391640995029,0.9514472484588623,-513.0295260697603,130.8672
australia-covid,14,cola_gnn,191.38892,428.0705,565.8860033169225,230.1699,0.9812323825979538,0.09514048338284853,0.9099203269790986,-483.8439873608925,0.9163810014724731,-235.29873165488243,167.11508
australia-covid,14,SelfAttnRNN,580.4777,1485.9729,1621.524359977364,593.1953,0.9359664727664196,-0.08576383056814388,0.2603677127311568,-373.49205712218674,0.3486884832382202,-36.694282069802284,566.52563
australia-covid,14,lstnet,109.552795,164.575,293.5208281579009,162.88277,0.9892745684125882,-0.009131739812168263,0.9757647915132782,-5186.885158957466,0.9779088497161865,-4628.89561124891,40.171623
